####,,
Spec,Value,
High power charger,Not Available,0
Navigation system,Standard,0
Navigation display,8.00 in. Color Satellite View,0
Navigation includes traffic info,Standard,0
Navigation data source,Internet,0
Navigation via mobile phone,Not Available,0
Built-in apps,Standard,0
Apps control,Standard,0
Wireless charging pad,Optional,0
Bluetooth phone connection,Not Available,0
Bluetooth music streaming,Not Available,0
Telematics,Standard,0
Telematics system,OnStar,0
Telematics cost,399.90 / year (96 months included),0
Front entertainment display,Not Available,0
Rear entertainment display (middle / back of front seats),Not Available / Not Available,0
Third row entertainment display (middle / back of rear seats),Not Available / Not Available,0
Internet connection,Not Available,0
Speech text messaging,Standard,0
Wifi network,Standard,0
Speakers,6,0
Subwoofer,Not Available,0
Surround sound,Not Available,0
In-dash DVD player,Not Available,0
In-dash single CD player,Not Available,0
CD changer,Not Available,0
Digital media card reader,Not Available,0
Digital radio,Standard,0
Internet radio,Not Available,0
Satellite radio,Standard,0
Wireless headphones,Not Available,0
AUX connection (front / rear),Standard / Not Available,0
USB connection (front / rear),Standard / Not Available,0
iPod/iPhone connection (front / rear),Not Available / Not Available,0
Game console connection (front / rear),Not Available / Not Available,0
HDMI connection (front / rear),Not Available / Not Available,0
Remote audio control,Steering Wheel Mounted,0
Voice activation,Standard,0
Multi-function display screen,Not Available,0
Touch screen,Standard,0
Android Auto compatible,Standard,0
Apple CarPlay compatible,Standard,0
MirrorLink mobile integration,Not Available,0
Symbian Belle mobile integration,Not Available,0
Seating capacity,5,0
Seating configuration,2+3,0
Seat main upholstery,Cloth,0
Seat additional upholstery,Synthetic Leather,0
Steering wheel trim,Alloy & Leather,0
Door trim,Synthetic Leather,0
Dashboard trim,Synthetic Leather,0
Center console trim,Color High Gloss,0
Front driver seat type,Bucket,0
Front passenger seat type,Bucket,0
Rear seat type,Bench,0
Third row seats,Not Available,0
Booster seats (rear / third row),Not Available / Not Available,0
Dash console storage,Standard,0
Center console storage,Standard,0
Overhead console storage,Not Available,0
Front sunroof,Not Available,0
Rear sunroof,Not Available,0
Front to rear sunroof,Not Available,0
Glass roof,Not Available,0
Cupholders (front / rear),Standard / Standard,0
Armrest (front / rear),Standard / Optional,0
Reading lights (front / rear),Standard / Not Available,0
12V power outlet (front / rear / cargo),Standard / Not Available / Not Available,0
Hands free trunk release,Not Available,0
Ashtray (front / rear),Not Available / Not Available,0
Lighter (front / rear),Not Available / Not Available,0
Vanity mirror (driver / passenger),Standard / Standard,0
Passenger grab handles,Not Available,0
Cargo area cover,Standard,0
Panoramic roof,Not Available,0
MSRP,25940,0
Invoice,25006.16,0
Delivery,1295,0
Stability control,Standard StabiliTrak,0
Trailer hitch assist,Not Available,0
Trailer brake control,Not Available,0
ABS,Standard,0
Brake assist,Standard,0
Cornering brake control,Not Available,0
Electronic brake distribution,Not Available,0
Hill holder,Not Available,0
Driver selectable modes,Standard,0
Engine mapping driver mode,Yes,0
Stability control driver mode,No,0
Steering driver mode,No,0
Suspension driver mode,No,0
Traction control driver mode,No,0
Blind spot warning sensor,Standard,0
Front park assist,Not Available,0
Rear park assist,Standard Guidance Display,0
Front parking distance sensors,Optional Camera,0
Rear parking distance sensors,"Standard HD Rear Vision Camera Camera, Optional Sensor & Camera",0
Side parking distance sensors,Optional Camera,0
Corner view camera,Not Available,0
Surround view camera,Optional HD Surround Vision,0
Camera display in rear view mirror,Not Available,0
Trailer assist,Not Available,0
Electronic traction control,Standard,0
Fire extinguisher,Not Available,0
Low tire pressure warning,Standard,0
Content theft alarm,Standard,0
Front airbags (driver / passenger),Standard / Standard,0
Side airbags (front / rear / third row),Standard / Standard / Not Available,0
Side curtain airbags (front only / front and rear / all three rows),Not Available / Standard / Not Available,0
Knee airbags (driver / passenger),Standard / Standard,0
Anti submarining airbags (rear / third row),Not Available / Not Available,0
Pedestrian airbag,Not Available,0
Dynamic steering,Not Available,0
LATCH system,Standard,0
Collision warning system,Standard Forward Collision Alert,0
Collision warning system activates at low speed,Front,0
Collision warning system includes automatic braking,Yes,0
Pedestrian avoidance system,Standard,0
Pedestrian audio warning system,Not Available,0
Lane departure warning,Standard,0
Lane departure warning activates brakes,No,0
Lane departure warning activates steering,Yes,0
Night vision,Not Available,0
Day Time Running Lights,Standard,0
Power steering,Standard,0
Head Up Display,No,0
Cross-traffic alert (front / rear),Not Available / Standard,0
Overall crash rating (NHTSA),5,0
Frontal crash rating (NHTSA),5,0
Side impact crash rating (NHTSA),5,0
Rollover crash rating (NHTSA),4,0
Collision warning system automatic barking,Yes,0
Collision warning system brakes at low speed,Front,0
Type (front / rear),Strut / Multi-link,0
Spring type (front / rear),Coil / Coil,0
Stabilizer bar (front / rear),Not Available / Not Available,0
Wheel dependence (front / rear),Independent / Independent,0
Suspension leveling (front / rear),Not Available / Not Available,0
Responsive suspension,Not Available,0
Driver selectable,Not Available,0
Terrain type selection,Not Available,0
Transmission Type,Automatic,0
Transmission Speeds,Variable,0
Description,Continuously Variable Transmission,0
Drive,FWD,0
Locking differential,Not Available,0
Limited slip differential,Not Available,0
Descent control system,Not Available,0
Whole vehicle warranty (months / miles),36 / 36000,0
Powertrain warranty (months / miles),60 / 60000,0
Anti-corrosion warranty (months / miles),36 / 36000,0
Paint warranty (months / miles),36 / 36000,0
Roadside assistance (months / miles),60 / 60000,0
3 Years SiriusXM,Available,299
Active Lifestyle Package (Dealer),Available,825
Advanced Technology Package,Available,1095
All Weather Floor Liners (Dealer),Available,250
All-Weather Floor Mats (Dealer),Available,195
Bright Chrome Lug Nuts Dealer),Available,125
Cargo Area Organizer  Collapsible (Dealer),Available,175
Cargo Mat,Available,50
Cargo Mat (Dealer),Available,125
Cargo Tray (Dealer),Available,195
Carpet Floor Mats (Dealer),Available,205
Cinnabar Metallic,Available,495
Cinnabar Metallic,Available,495
Comfort Package,Available,995
Copper Ice Metallic,Available,495
Copper Ice Metallic,Available,495
Ebony Cloth with Leatherette,Available,0
Ebony Twilight Metallic,Available,495
Ebony Twilight Metallic,Available,495
Engine Block Heater,Available,100
Engine  Premium Turbo,Available,395
First Aid Kit,Available,55
Front and Rear Molded Splash Guards (Dealer),Available,250
Front License Plate Bracket,Available,40
Highway Safety Kit,Available,150
Horizontal Cargo Net (Dealer),Available,95
Interior Protection Package (Dealer),Available,495
Keyless Entry Keypad (Dealer),Available,295
Luggage Rack,Available,150
Mobile Service Plus,Available,599
Moonstone Gray Metallic,Available,495
Moonstone Gray Metallic,Available,495
Ocean Blue Metallic,Available,495
Ocean Blue Metallic,Available,495
Power Liftgate,Available,400
