####,,
Spec,Value,
Built-in apps,Not Available,$0 
Apps control,Standard,$0 
Wireless charging pad,Not Available,$0 
Bluetooth phone connection,Not Available,$0 
Bluetooth music streaming,Not Available,$0 
Telematics,Not Available,$0 
Front entertainment display,Not Available,$0 
Rear entertainment display (middle / back of front seats),Not Available / Not Available,$0 
Third row entertainment display (middle / back of rear seats),Not Available / Not Available,$0 
Internet connection,Not Available,$0 
Speech text messaging,Standard,$0 
Wifi network,Not Available,$0 
Speakers,6,$0 
Subwoofer,Not Available,$0 
Surround sound,Not Available,$0 
In-dash DVD player,Not Available,$0 
In-dash single CD player,Not Available,$0 
CD changer,Not Available,$0 
Digital media card reader,Not Available,$0 
Digital radio,Standard,$0 
Internet radio,Not Available,$0 
Satellite radio,Not Available,$0 
Wireless headphones,Not Available,$0 
AUX connection (front / rear),Not Available / Not Available,$0 
USB connection (front / rear),Standard / Not Available,$0 
iPod/iPhone connection (front / rear),Not Available / Not Available,$0 
Game console connection (front / rear),Not Available / Not Available,$0 
HDMI connection (front / rear),Not Available / Not Available,$0 
Remote audio control,Steering Wheel Mounted,$0 
Voice activation,Standard,$0 
Multi-function display screen,Not Available,$0 
Touch screen,Standard,$0 
Android Auto compatible,Standard,$0 
Apple CarPlay compatible,Standard,$0 
MirrorLink mobile integration,Not Available,$0 
Symbian Belle mobile integration,Not Available,$0 
Seating capacity,5,$0 
Seating configuration,2+3,$0 
Seat main upholstery,Cloth,$0 
Seat additional upholstery,Cloth,$0 
Steering wheel trim,Plastic,$0 
Door trim,Alloy Look,$0 
Dashboard trim,Wood/woodgrain,$0 
Center console trim,Wood/woodgrain,$0 
Front driver seat type,Bucket,$0 
Front passenger seat type,Bucket,$0 
Rear seat type,Split Bench,$0 
Third row seats,Not Available,$0 
Booster seats (rear / third row),Not Available / Not Available,$0 
Dash console storage,Standard,$0 
Center console storage,Standard,$0 
Overhead console storage,Not Available,$0 
Front sunroof,Not Available,$0 
Rear sunroof,Not Available,$0 
Front to rear sunroof,Not Available,$0 
Glass roof,Not Available,$0 
Cupholders (front / rear),Standard / Standard,$0 
Armrest (front / rear),Standard / Standard,$0 
Reading lights (front / rear),Standard / Not Available,$0 
12V power outlet (front / rear / cargo),Standard / Not Available / Standard,$0 
Hands free trunk release,Not Available,$0 
Ashtray (front / rear),Not Available / Not Available,$0 
Lighter (front / rear),Not Available / Not Available,$0 
Vanity mirror (driver / passenger),Standard / Standard,$0 
Passenger grab handles,Not Available,$0 
Cargo area cover,Optional,$0 
Panoramic roof,Not Available,$0 
MSRP,27390,$0 
Invoice,26569,$0 
Delivery,1395,$0 
Stability control,Standard Electronic Stability Control (ESC),$0 
Trailer hitch assist,Not Available,$0 
Trailer brake control,Not Available,$0 
ABS,Standard,$0 
Brake assist,Standard,$0 
Cornering brake control,Not Available,$0 
Electronic brake distribution,Not Available,$0 
Hill holder,Standard Hill Start Assist Control (HAC),$0 
Driver selectable modes,Standard Driver Mode Select (DMS),$0 
Engine mapping driver mode,Yes,$0 
Stability control driver mode,No,$0 
Steering driver mode,Yes,$0 
Suspension driver mode,No,$0 
Traction control driver mode,No,$0 
Blind spot warning sensor,Not Available,$0 
Front park assist,Not Available,$0 
Rear park assist,Standard Guidance Display,$0 
Front parking distance sensors,Not Available,$0 
Rear parking distance sensors,Standard Rear-Camera Display Sensor & Camera,$0 
Side parking distance sensors,Not Available,$0 
Corner view camera,Not Available,$0 
Surround view camera,Not Available,$0 
Camera display in rear view mirror,Not Available,$0 
Trailer assist,Not Available,$0 
Electronic traction control,Standard,$0 
Fire extinguisher,Not Available,$0 
Low tire pressure warning,Standard,$0 
Content theft alarm,Standard,$0 
Front airbags (driver / passenger),Standard / Standard,$0 
Side airbags (front / rear / third row),Standard / Standard / Not Available,$0 
Side curtain airbags (front only / front and rear / all three rows),Not Available / Standard / Not Available,$0 
Knee airbags (driver / passenger),Not Available / Not Available,$0 
Anti submarining airbags (rear / third row),Not Available / Not Available,$0 
Pedestrian airbag,Not Available,$0 
Dynamic steering,Not Available,$0 
LATCH system,Standard,$0 
Collision warning system,Standard Forward Collision Avoidance Assist (FCA) w Pedestrian and Cyclist Detection,$0 
Collision warning system activates at low speed,Front,$0 
Collision warning system includes automatic braking,Yes,$0 
Pedestrian avoidance system,Standard,$0 
Pedestrian audio warning system,Not Available,$0 
Lane departure warning,Standard,$0 
Lane departure warning activates brakes,Yes,$0 
Lane departure warning activates steering,Yes,$0 
Night vision,Not Available,$0 
Day Time Running Lights,Standard,$0 
Power steering,Standard,$0 
Head Up Display,No,$0 
Cross-traffic alert (front / rear),Not Available / Not Available,$0 
Collision warning system automatic barking,Yes,$0 
Collision warning system brakes at low speed,Front,$0 
Type (front / rear),Strut / Multi-link,$0 
Spring type (front / rear),Coil / Coil,$0 
Stabilizer bar (front / rear),Standard / Standard,$0 
Wheel dependence (front / rear),Independent / Independent,$0 
Suspension leveling (front / rear),Not Available / Not Available,$0 
Responsive suspension,Not Available,$0 
Driver selectable,Not Available,$0 
Terrain type selection,Not Available,$0 
Transmission Type,Automatic,$0 
Transmission Speeds,8,$0 
Description,Sportmatic® Automatic With Manual Mode,$0 
Drive,FWD,$0 
Locking differential,Not Available,$0 
Limited slip differential,Not Available,$0 
Descent control system,Standard,$0 
Whole vehicle warranty (months / miles),60 / 60000,$0 
Powertrain warranty (months / miles),120 / 100000,$0 
Anti-corrosion warranty (months / miles),60 / 100000,$0 
Paint warranty (months / miles),36 / 36000,$0 
Roadside assistance (months / miles),60 / 60000,$0 
Cargo Cover (PIO),Available,$150 
Cargo Mat (PIO),Available,$100 
Cargo Mat with Seatback Protection (PIO),Available,$125 
Cargo Net Hybrid (not appl w/ Audio) (PIO),Available,$60 
Cargo Tray (PIO),Available,$120 
Carpet Floor Mats (PIO),Available,$175 
Ebony Black,Available,$0 
EC Mirror with Homelink (PIO),Available,$350 
Everlasting Silver Metallic,Available,$0 
Front Skid Plate - Metal (PIO),Available,$225 
Fusion Black Metallic,Available,$0 
Glacial White Pearl,Available,$395 
Glacial White Pearl,Available,$395 
Gravity Gray Metallic,Available,$395 
Gravity Gray Metallic,Available,$395 
Mud Guards (PIO),Available,$125 
Saturn Black Cloth,Available,$0 
Side Steps (PIO),Available,$690 
Snow White Pearl,Available,$395 
Snow White Pearl,Available,$395 
Steel Gray Metallic,Available,$0 
Wheel Locks (PIO),Available,$75 
