####,,
Spec,Value,
Internet radio,Not Available,0
Satellite radio,Not Available,0
Wireless headphones,Not Available,0
AUX connection (front / rear),Not Available / Not Available,0
USB connection (front / rear),Standard / Not Available,0
iPod/iPhone connection (front / rear),Not Available / Not Available,0
Game console connection (front / rear),Not Available / Not Available,0
HDMI connection (front / rear),Not Available / Not Available,0
Remote audio control,Steering Wheel Mounted,0
Voice activation,Standard,0
Multi-function display screen,Not Available,0
Touch screen,Standard,0
Android Auto compatible,Standard,0
Apple CarPlay compatible,Standard,0
MirrorLink mobile integration,Not Available,0
Symbian Belle mobile integration,Not Available,0
Seating capacity,5,0
Seating configuration,2+3,0
Seat main upholstery,Cloth,0
Seat additional upholstery,Cloth,0
Steering wheel trim,Plastic,0
Front driver seat type,Bucket,0
Front passenger seat type,Bucket,0
Rear seat type,Split Bench,0
Third row seats,Not Available,0
Booster seats (rear / third row),Not Available / Not Available,0
Dash console storage,Not Available,0
Center console storage,Standard,0
Overhead console storage,Not Available,0
Front sunroof,Not Available,0
Rear sunroof,Not Available,0
Front to rear sunroof,Not Available,0
Glass roof,Not Available,0
Cupholders (front / rear),Standard / Standard,0
Armrest (front / rear),Standard / Not Available,0
Reading lights (front / rear),Standard / Standard,0
12V power outlet (front / rear / cargo),Standard / Not Available / Standard,0
Hands free trunk release,Not Available,0
Ashtray (front / rear),Not Available / Not Available,0
Lighter (front / rear),Not Available / Not Available,0
Vanity mirror (driver / passenger),Standard / Standard,0
Passenger grab handles,Not Available,0
Cargo area cover,Optional,0
Panoramic roof,Not Available,0
MSRP,25400,0
Invoice,24333,0
Delivery,1395,0
Stability control,Standard,0
Trailer hitch assist,Not Available,0
Trailer brake control,Not Available,0
ABS,Standard,0
Brake assist,Standard,0
Cornering brake control,Not Available,0
Electronic brake distribution,Not Available,0
Hill holder,Standard,0
Driver selectable modes,Standard,0
Engine mapping driver mode,Yes,0
Steering driver mode,No,0
Suspension driver mode,No,0
Blind spot warning sensor,Not Available,0
Front park assist,Not Available,0
Rear park assist,Standard Guidance Display,0
Front parking distance sensors,Not Available,0
Rear parking distance sensors,Standard Multi-Angle Rear View Camera with Dynamic Guidelines Camera,0
Side parking distance sensors,Not Available,0
Corner view camera,Not Available,0
Surround view camera,Not Available,0
Camera display in rear view mirror,Not Available,0
Trailer assist,Not Available,0
Electronic traction control,Standard,0
Fire extinguisher,Not Available,0
Low tire pressure warning,Standard,0
Content theft alarm,Standard,0
Front airbags (driver / passenger),Standard / Standard,0
Side airbags (front / rear / third row),Standard / Standard / Not Available,0
Side curtain airbags (front only / front and rear / all three rows),Not Available / Standard / Not Available,0
Knee airbags (driver / passenger),Standard / Standard,0
Anti submarining airbags (rear / third row),Not Available / Not Available,0
Pedestrian airbag,Not Available,0
Dynamic steering,Not Available,0
LATCH system,Standard,0
Collision warning system,Standard Collision Mitigation Braking System™ (CMBS™),0
Collision warning system activates at low speed,Front,0
Collision warning system includes automatic braking,Yes,0
Pedestrian avoidance system,Standard,0
Pedestrian audio warning system,Not Available,0
Lane departure warning,Standard,0
Lane departure warning activates brakes,Yes,0
Lane departure warning activates steering,Yes,0
Night vision,Not Available,0
Day Time Running Lights,Standard,0
Power steering,Standard,0
Head Up Display,No,0
Cross-traffic alert (front / rear),Not Available / Not Available,0
Overall crash rating (NHTSA),5,0
Frontal crash rating (NHTSA),5,0
Side impact crash rating (NHTSA),5,0
Rollover crash rating (NHTSA),4,0
Collision warning system automatic barking,Yes,0
Collision warning system brakes at low speed,Front,0
Type (front / rear),Strut / Multi-link,0
Spring type (front / rear),Coil / Coil,0
Stabilizer bar (front / rear),Standard / Standard,0
Wheel dependence (front / rear),Independent / Independent,0
Suspension leveling (front / rear),Not Available / Not Available,0
Responsive suspension,Not Available,0
Driver selectable,Not Available,0
Terrain type selection,Standard,0
Transmission Type,Automatic,0
Transmission Speeds,Variable,0
Description,Continuously Variable Transmission,0
Drive,FWD,0
Locking differential,Not Available,0
Limited slip differential,Not Available,0
Descent control system,Not Available,0
Whole vehicle warranty (months / miles),36 / 36000,0
Powertrain warranty (months / miles),60 / 60000,0
Anti-corrosion warranty (months / miles),60 / 9999999,0
Paint warranty (months / miles),36 / 36000,0
Roadside assistance (months / miles),36 / 36000,0
No cost maintenance (months / miles),12 / 12000,0
17-Inch Glint Black Alloy Wheels (Dealer),Available,2021
17-Inch HPD™ Bronze-Finish Alloy Wheels (Dealer),Available,2021
All Season Protection Package II (Dealer),Available,358
All-Season Floor Mats (Dealer),Available,184
All-Season Protection Package I (Dealer),Available,410
Bike Attachment – Frame Mount (Dealer),Available,216
Black Cloth,Available,0
Body Side Molding (Dealer),Available,230
Cargo Cover (Dealer),Available,123
Cargo Net (Dealer),Available,67
Cargo Tray (Dealer),Available,118
Contoured High-Wall Carpet Floor Mats (Dealer),Available,194
Crystal Black Pearl,Available,0
Door Edge Guards (Dealer),Available,128
Door Sill Protection Film (Dealer),Available,102
Door Visors (Dealer),Available,193
Emblem – HPD™ (Dealer),Available,108
Emblem  H-Mark and HR-V – Gloss Black (Dealer),Available,108
Engine Block Heater (Dealer),Available,92
Fender Flares (Dealer),Available,510
First Aid Kit (Dealer),Available,35
Gray Cloth,Available,0
Grille Trim (Dealer),Available,306
HPD™ Decal (Dealer),Available,203
HPD™ Package (Dealer),Available,1402
Kayak Attachment (Dealer),Available,270
Lower Door Trim (Dealer),Available,306
Lower Trim – Front (Dealer),Available,254
Lower Trim – Rear (Dealer),Available,254
Lunar Silver Metallic,Available,0
Modern Steel Metallic,Available,0
Nordic Forest Pearl,Available,455
Nordic Forest Pearl,Available,455
Platinum White Pearl,Available,455
Platinum White Pearl,Available,455
Protection Package (Dealer),Available,293
Rear Passenger Window Shades (Dealer),Available,179
Roof Basket (Dealer),Available,412
Roof Box – Midsize (Dealer),Available,564
Roof Box - Short (Dealer),Available,534
Roof Rack (Dealer),Available,403
Rugged Package (Dealer),Available,1100
Seat Back Protectors (Dealer),Available,102
Side Lower Trim (Dealer),Available,306
Ski/Snowboard Attachment (Dealer),Available,287
Splash Guard Set (Dealer),Available,118
Surfboard Attachment (Dealer),Available,173
Tailgate Spoiler (Dealer),Available,306
Tent (Dealer),Available,417
Valve Stem Caps – Black (Dealer),Available,24
Valve Stem Caps – Chrome (Dealer),Available,24
Wheel Locks - Black (Dealer),Available,94
Wheel Locks - Chrome (Dealer),Available,65
Wheel Lug Nuts - Black (Dealer),Available,194
####,,
safety,Rating,
NHTSA Rating Front Driver,5,
NHTSA Rating Front Passenger,5,
NHTSA Rating Front Side,5,
NHTSA Rating Overall,5,
NHTSA Rating Rear Side,5,
NHTSA Rating Rollover,4,
